playerID,yearID,teamID,lgID,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BFP,FIP,WHIP
eschja01,2017,SDP,NL,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
kochma01,2017,ARI,NL,0,0,0,1,0,0,0,0,0,2,3,3,0,1,0,0,0,0,0,3,0,0
beatope01,2017,PHI,NL,0,0,0,1,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,0.16,0
minteaj01,2017,ATL,NL,0,1,3,16,0,0,0,0,15,13,5,5,1,2,0,26,0,0,0,60,0.96,1
madsory01,2017,WSN,NL,3,0,1.37,20,0,0,0,1,19.2,13,3,3,0,3,0,28,2,0,0,75,1.07,0.814
claibpr01,2017,TEX,AL,0,0,13.5,1,0,0,0,0,2,5,3,3,0,0,0,2,0,0,0,10,1.16,2.5
cloydty01,2017,SEA,AL,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,4,1.16,2
morelmi01,2017,BOS,AL,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,5,1.16,2
vieirth01,2017,SEA,AL,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1.16,0
janseke01,2017,LAD,NL,5,0,1.32,65,0,0,0,41,68.1,44,11,10,5,7,0,109,2,1,2,258,1.31,0.746
syndeno01,2017,NYM,NL,1,2,2.97,7,7,0,0,0,30.1,29,14,10,0,3,1,34,1,0,3,124,1.31,1.055
davisjd01,2017,HOU,AL,0,0,0,2,0,0,0,0,1.2,1,0,0,0,1,0,3,0,0,0,7,1.36,1.2
kimbrcr01,2017,BOS,AL,5,0,1.43,67,0,0,0,35,69,33,11,11,6,14,0,126,4,0,5,254,1.42,0.681
putnaza01,2017,CHW,AL,0,0,1.04,7,0,0,0,0,8.2,2,1,1,0,1,0,9,0,0,2,28,1.43,0.346
gomezro01,2017,SFG,NL,0,0,8.44,4,0,0,0,0,5.1,9,5,5,0,1,0,6,0,0,0,26,1.47,1.875
kahnlto01,2017,CHW,AL,1,3,2.5,37,0,0,0,0,36,28,12,10,3,7,1,60,0,0,2,141,1.49,0.972
morrobr01,2017,LAD,NL,6,0,2.06,45,0,0,0,2,43.2,31,10,10,0,9,1,50,1,0,2,170,1.55,0.916
nicasju01,2017,PHI,NL,1,0,0,2,0,0,0,0,1.1,0,0,0,0,0,0,1,0,0,0,4,1.66,0
smithjo05,2017,CLE,AL,0,0,3.44,21,0,0,0,1,18.1,16,7,7,1,0,0,20,0,0,0,70,1.69,0.873
neshepa01,2017,COL,NL,2,1,2.45,28,0,0,0,0,22,20,8,6,1,1,0,24,0,0,0,87,1.7,0.955
osunaro01,2017,TOR,AL,3,4,3.38,66,0,0,0,39,64,46,26,24,3,9,0,83,3,0,4,249,1.74,0.859
greench03,2017,NYY,AL,5,0,1.83,40,1,0,0,0,69,34,14,14,4,17,0,103,2,0,3,253,1.75,0.739
leathja01,2017,PIT,NL,0,0,0,6,0,0,0,0,4.1,3,0,0,0,2,0,6,0,0,0,18,1.77,1.154
aranovi01,2017,PHI,NL,1,0,1.69,10,0,0,0,0,10.2,6,2,2,0,4,0,13,0,0,0,42,1.85,0.938
cingrto01,2017,LAD,NL,0,0,2.79,22,0,0,0,0,19.1,15,8,6,1,6,0,28,0,0,3,77,1.86,1.086
hernada01,2017,LAA,AL,1,0,2.23,38,0,0,0,1,36.1,29,10,9,0,8,0,37,1,0,3,140,1.86,1.018
neshepa01,2017,PHI,NL,3,2,1.12,43,0,0,0,1,40.1,28,5,5,2,5,0,45,0,0,0,148,1.94,0.818
liberad01,2017,LAD,NL,0,0,2.7,4,0,0,0,0,3.1,3,1,1,0,2,0,5,0,0,0,15,1.96,1.5
smithca02,2017,BOS,AL,0,0,1.35,8,0,0,0,1,6.2,7,1,1,0,2,0,7,0,0,0,27,1.96,1.35
millean01,2017,CLE,AL,4,3,1.44,57,0,0,0,2,62.2,31,11,10,3,21,0,95,5,0,1,244,1.99,0.83
sherfji01,2017,ARI,NL,2,0,0,11,0,0,0,1,10.2,5,0,0,0,2,0,9,0,0,0,37,2.03,0.656
pareded02,2017,LAD,NL,1,0,3.24,10,0,0,0,0,8.1,8,3,3,1,0,0,11,0,0,0,31,2.08,0.96
lindbjo01,2017,PIT,NL,0,0,7.84,4,0,0,0,0,10.1,18,9,9,0,3,0,10,0,0,0,51,2.09,2.032
roberda08,2017,NYY,AL,5,0,1.03,30,0,0,0,1,35,14,4,4,2,12,2,51,1,0,4,132,2.1,0.743
callaja01,2017,NYM,NL,0,0,4.05,9,0,0,0,0,6.2,7,4,3,0,1,0,5,0,0,0,30,2.11,1.2
cishest01,2017,TBR,AL,2,1,1.09,26,0,0,0,0,24.2,13,3,3,0,7,0,26,2,0,2,94,2.14,0.811
bailean01,2017,LAA,AL,2,0,0,4,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,13,2.16,0.25
johnspi01,2017,CHC,NL,0,0,0,1,0,0,0,0,1,2,2,0,0,1,0,2,0,0,0,7,2.16,3
rosentr01,2017,STL,NL,3,4,3.4,50,0,0,0,11,47.2,37,20,18,3,20,0,76,2,0,2,202,2.17,1.196
ramirno01,2017,LAA,AL,0,0,2.16,10,0,0,0,0,8.1,3,3,2,0,4,0,10,0,0,0,31,2.2,0.84
breslcr01,2017,CLE,AL,0,0,4.15,7,0,0,0,0,4.1,3,2,2,0,2,0,5,0,0,0,16,2.23,1.154
soriajo01,2017,KCR,AL,4,3,3.7,59,0,0,0,1,56,49,24,23,1,20,2,64,1,0,4,232,2.23,1.232
leakemi01,2017,SEA,AL,3,1,2.53,5,5,0,0,0,32,32,10,9,1,2,0,27,2,0,1,128,2.25,1.063
clippty01,2017,CHW,AL,1,1,1.8,11,0,0,0,2,10,8,2,2,0,5,0,12,0,0,3,44,2.26,1.3
salasfe01,2017,LAA,AL,1,0,2.63,13,0,0,0,0,13.2,7,4,4,0,2,0,9,0,0,0,49,2.28,0.659
kahnlto01,2017,NYY,AL,1,1,2.7,32,0,0,0,0,26.2,25,8,8,1,10,0,36,2,0,3,115,2.3,1.313
smithjo05,2017,TOR,AL,3,0,3.28,38,0,0,0,0,35.2,30,13,13,3,10,1,51,1,0,0,144,2.32,1.121
morriak01,2017,ATL,NL,0,0,1.23,8,0,0,0,0,7.1,6,1,1,0,4,0,9,0,0,0,32,2.34,1.364
swarzan01,2017,CHW,AL,4,3,2.23,41,0,0,0,1,48.1,37,12,12,2,13,2,52,0,0,2,186,2.35,1.034
doolise01,2017,OAK,AL,1,0,3.38,23,0,0,0,3,21.1,12,8,8,3,2,0,31,0,0,1,79,2.36,0.656
gileske01,2017,HOU,AL,1,3,2.3,63,0,0,0,34,62.2,44,16,16,4,21,0,83,1,0,3,247,2.39,1.037
castifa01,2017,LAD,NL,0,0,13.5,2,0,0,0,0,1.1,3,2,2,0,1,0,2,0,0,1,8,2.41,3
garcija02,2017,MIN,AL,1,0,4.05,1,1,0,0,0,6.2,8,3,3,0,3,0,7,0,0,0,29,2.41,1.65
mapledi01,2017,CHC,NL,0,0,10.13,6,0,0,0,0,5.1,6,6,6,0,6,0,11,0,0,1,27,2.41,2.25
olsonty01,2017,CLE,AL,1,0,0,30,0,0,0,1,20,13,0,0,0,6,0,18,1,0,0,77,2.41,0.95
streehu01,2017,LAA,AL,0,0,0,4,0,0,0,0,4,2,0,0,0,1,0,3,0,0,0,15,2.41,0.75
richaga01,2017,LAA,AL,0,2,2.28,6,6,0,0,0,27.2,18,8,7,1,7,0,27,0,0,2,108,2.44,0.904
madsory01,2017,OAK,AL,2,4,2.06,40,0,0,0,1,39.1,25,9,9,2,6,2,39,2,0,0,144,2.45,0.788
salech01,2017,BOS,AL,17,8,2.9,32,32,1,0,0,214.1,165,73,69,24,43,0,308,8,0,3,851,2.45,0.97
riverfe01,2017,PIT,NL,5,3,1.67,73,0,0,0,21,75.1,47,19,14,4,20,0,88,4,1,2,300,2.47,0.889
klubeco01,2017,CLE,AL,18,4,2.25,29,29,5,3,0,203.2,141,56,51,21,36,2,265,5,0,4,777,2.5,0.869
knebeco01,2017,MIL,NL,1,4,1.78,76,0,0,0,39,76,48,15,15,6,40,5,126,2,0,2,309,2.53,1.158
alvarjo03,2017,TBR,AL,0,3,3.64,35,0,0,0,0,29.2,24,12,12,1,9,1,29,0,0,2,123,2.55,1.112
chapmar01,2017,NYY,AL,4,3,3.22,52,0,0,0,22,50.1,37,20,18,3,20,2,69,3,0,5,210,2.56,1.132
bradlar01,2017,ARI,NL,3,3,1.73,63,0,0,0,1,73,55,14,14,4,21,2,79,1,1,0,290,2.61,1.041
curtiza01,2017,PHI,NL,0,0,2.45,3,0,0,0,0,3.2,3,1,1,0,2,0,4,0,0,0,15,2.61,1.364
kontoge01,2017,PIT,NL,1,1,1.84,15,0,0,0,1,14.2,9,3,3,1,3,0,15,0,0,0,55,2.61,0.818
paxtoja01,2017,SEA,AL,12,5,2.98,24,24,0,0,0,136,113,47,45,9,37,1,156,3,1,15,552,2.61,1.103
minormi01,2017,KCR,AL,6,6,2.55,65,0,0,0,6,77.2,57,23,22,5,22,3,88,1,0,5,307,2.62,1.017
morinmi01,2017,KCR,AL,0,0,7.94,6,0,0,0,0,5.2,8,5,5,0,3,0,6,0,0,0,28,2.63,1.941
maddoau01,2017,BOS,AL,0,0,0.52,13,0,0,0,0,17.1,13,1,1,1,2,0,14,0,0,0,67,2.64,0.865
albural01,2017,CHW,AL,0,1,1.13,10,0,0,0,0,8,3,1,1,0,2,0,5,0,0,0,29,2.66,0.625
gloveko01,2017,WSN,NL,0,1,5.12,23,0,0,0,8,19.1,20,11,11,1,4,0,17,0,0,1,80,2.69,1.241
verlaju01,2017,HOU,AL,5,0,1.06,5,5,0,0,0,34,17,4,4,4,5,0,43,1,0,0,120,2.69,0.647
iglesra01,2017,CIN,NL,3,3,2.49,63,0,0,0,28,76,57,22,21,5,27,1,92,1,0,1,306,2.7,1.105
phelpda01,2017,SEA,AL,2,1,3.12,10,0,0,0,0,8.2,9,3,3,0,5,0,11,1,0,0,41,2.7,1.615
parkebl01,2017,LAA,AL,3,3,2.54,71,0,0,0,8,67.1,40,20,19,7,16,0,86,1,0,4,254,2.71,0.832
strasst01,2017,WSN,NL,15,4,2.52,28,28,1,1,0,175.1,131,55,49,13,47,5,204,7,0,3,701,2.72,1.015
anderdr02,2017,PHI,NL,0,0,23.14,2,0,0,0,0,2.1,6,7,6,0,1,0,2,0,0,0,14,2.73,3
willita01,2017,MIL,NL,0,0,1.93,5,0,0,0,0,4.2,4,1,1,0,2,0,4,0,0,0,20,2.73,1.286
goharlu01,2017,ATL,NL,1,3,4.91,5,5,0,0,0,29.1,32,17,16,2,8,0,31,0,0,1,123,2.75,1.364
doolise01,2017,WSN,NL,1,0,2.4,30,0,0,0,21,30,22,10,8,2,8,1,31,0,0,2,118,2.76,1
winklda01,2017,ATL,NL,1,1,2.51,16,0,0,0,0,14.1,7,4,4,1,6,0,18,0,0,0,53,2.81,0.907
vinceni01,2017,SEA,AL,3,3,3.2,69,0,0,0,0,64.2,62,23,23,3,13,5,50,0,0,0,262,2.82,1.16
