,mlb_name,pitch_type,quality,ball_pct,strike_pct,foul_pct,in_play_pct,pitch_count,avg_qual,pitch_name
0,Anthony Banda,FF,0.1905226480836235,0.3310104529616725,0.3310104529616725,0.14634146341463414,0.1916376306620209,287.0,0.1603646846323446,Four-seam Fastball
5,Anthony Banda,CH,0.1344705882352942,0.4235294117647059,0.25882352941176473,0.1411764705882353,0.17647058823529413,85.0,0.12765397399004674,Changeup
6,Anthony Banda,CU,0.05662162162162164,0.47297297297297297,0.25675675675675674,0.10810810810810811,0.16216216216216217,74.0,0.17778582610313318,Curveball
446,Jared Miller,FF,-0.029444444444444426,0.5277777777777778,0.19444444444444445,0.1111111111111111,0.16666666666666666,36.0,0.1603646846323446,Four-seam Fastball
448,Jared Miller,SL,0.05562500000000003,0.5,0.3125,0.0,0.1875,16.0,0.20810453817692648,Slider
450,Jared Miller,FC,0.39000000000000024,0.14814814814814814,0.4444444444444444,0.2222222222222222,0.18518518518518517,27.0,0.1565383301837312,Cutter
528,Jimmie Sherfy,FF,0.15147540983606517,0.3360655737704918,0.2540983606557377,0.22950819672131148,0.18032786885245902,122.0,0.1603646846323446,Four-seam Fastball
537,Jimmie Sherfy,CU,0.23410526315789437,0.35789473684210527,0.4,0.08421052631578947,0.15789473684210525,95.0,0.17778582610313318,Curveball
765,Myles Jaye,FT,-0.06099009900990084,0.42574257425742573,0.16831683168316833,0.16831683168316833,0.2376237623762376,101.0,0.09296613721316117,Two-seam Fastball
766,Myles Jaye,CU,0.05727272727272732,0.6060606060606061,0.21212121212121213,0.15151515151515152,0.030303030303030304,33.0,0.17778582610313318,Curveball
767,Myles Jaye,FF,0.011206896551724148,0.39655172413793105,0.15517241379310345,0.27586206896551724,0.1724137931034483,58.0,0.1603646846323446,Four-seam Fastball
770,Myles Jaye,CH,-0.10476190476190475,0.42857142857142855,0.14285714285714285,0.09523809523809523,0.3333333333333333,21.0,0.12765397399004674,Changeup
773,Myles Jaye,SL,0.10113207547169817,0.3584905660377358,0.2641509433962264,0.1509433962264151,0.22641509433962265,53.0,0.20810453817692648,Slider
1031,Jairo Labourt,FF,-0.006363636363636357,0.5909090909090909,0.2727272727272727,0.0,0.13636363636363635,22.0,0.1603646846323446,Four-seam Fastball
1033,Jairo Labourt,SL,0.18210526315789483,0.35526315789473684,0.27631578947368424,0.2236842105263158,0.14473684210526316,76.0,0.20810453817692648,Slider
1036,Jairo Labourt,FT,-0.22727272727272727,0.6363636363636364,0.0,0.18181818181818182,0.18181818181818182,11.0,0.09296613721316117,Two-seam Fastball
1057,Jairo Labourt,CH,-0.22499999999999998,0.8333333333333334,0.08333333333333333,0.0,0.08333333333333333,12.0,0.12765397399004674,Changeup
1152,Victor Alcantara,SI,0.11000000000000003,0.3465346534653465,0.2376237623762376,0.2079207920792079,0.2079207920792079,101.0,0.11394481591195386,Sinker
1154,Victor Alcantara,CH,-0.13882352941176468,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.29411764705882354,17.0,0.12765397399004674,Changeup
1155,Victor Alcantara,SL,0.3187500000000001,0.4375,0.375,0.125,0.0625,16.0,0.20810453817692648,Slider
1295,Joe Jimenez,FF,0.19500000000000067,0.33488372093023255,0.27674418604651163,0.23255813953488372,0.1558139534883721,430.0,0.1603646846323446,Four-seam Fastball
